ytpl,PL33ae5Gg6n32cwt5P_d_nOxykU79pBt-r,Golden Coast Invitational (GCI 2020),ArtU Esports
yt,ltFE0P6Mxio,Esports Level Design - Weekly Workshop: Episode 1,ArtU Esports
yt,3p-jk9lAZaY,Esports Level Design - Weekly Workshop: Episode 2,ArtU Esports
yt,LsYukbY5Acg,Esports Level Design - Weekly Workshop: Episode 3,ArtU Esports
yt,r89_28Pf8x8,Esports Level Design - Weekly Workshop: Episode 4,ArtU Esports
yt,9jhLhk_aD5k,Esports Level Design - Weekly Workshop: Episode 5,ArtU Esports
yt,PuuQNQWgY1M,Esports Level Design - Weekly Workshop: Episode 6,ArtU Esports
yt,t7BOrCjyGZc,Esports Level Design - Weekly Workshop: Episode 7,ArtU Esports
yt,FqOqdfwJO4Y,Esports Level Design - Weekly Workshop: Episode 8 (Final Episode),ArtU Esports
yt,NUvYY_9stuM,MSI Radiant Cup Spring 2021 - Week 1,MSI Gaming
yt,20A8o59snOI,MSI Radiant Cup Spring 2021 - Week 2,MSI Gaming
yt,YMB_0YS6y58,MSI Radiant Cup Spring 2021 - Week 3,MSI Gaming
yt,3dBKgkyI0ZQ,MSI Radiant Cup Spring 2021 - Week 4,MSI Gaming
yt,nNiJXIIve9I,Nerdstreet Apex Online #4,Nerdstreet
yt,cA12-p8nNc8,Nerdstreet Apex Online #9,Nerdstreet
yt,LufXL0W1Gz4,Nerdstreet Apex LAN Day 1,Nerdstreet
yt,DRbHs1e-Drw,Nerdstreet Apex LAN Day 2,Nerdstreet
ttv,2175475132,The Finals on Twitch Rivals,Twitch Rivals
yt,adFrsOBoU18,Breakout Esports Masters Series Qualifier #2,Breakout ES
yt,MvaNFny7rGQ,Breakout Esports Masters Series Qualifier #3,Breakout ES
yt,6Gf1-nyQvus,Breakout Esports Masters Series Qualifier #4,Breakout ES
yt,vpH8PJcKiqk?t=12442s,Breakout Esports Split 1 Championship Day 1,Breakout ES
yt,27yzKN1TB-c?t=6472s,Breakout Esports Split 1 Championship Day 2,Breakout ES
ttv,2357069440,Marvel Rivals Showdown on Twitch Rivals Day 1,Twitch Rivals
ttv,2358064236,Marvel Rivals Showdown on Twitch Rivals Day 2,Twitch Rivals
yt,C8UophvEFF8,VGL Season 1 Week #3,Vanguardian League
yt,aob6gYdxwHs,VGL Season 1 Week #5,Vanguardian League
yt,4n8RPTEnIW4,Rivals Rumble #1,Vanguardian League
yt,wASzUZhubO0,Rivals Rumble #3,Vanguardian League
ttv,2404879322,Shroud vs TenZ Fragpunk Showdown Day 1,Twitch Rivals
ttv,2405536365,Shroud vs TenZ Fragpunk Showdown Day 2,Twitch Rivals
yt,-BQhwrLEGO0,Fragpunk Hub Brawl #1,Fragpunk
yt,lzgrjHNeq3Y,Fragpunk World Clash NA Regional Finals,Fragpunk
yt,temd3FuHfUs,The Finals PHL Season 0 EU Playday #1,ProHubsTF
yt,8bjdMlVA-74,The Finals PHL Season 0 EU Playday #3,ProHubsTF
yt,dMGYQ9Y5kF8,The Finals PHL Season 0 EU Playday #5,ProHubsTF
yt,wVO5tCfU,The Finals PHL Season 0 EU Playday #7,ProHubsTF
yt,pk_hwcSb7bM,The Finals PHL Season 0 NA Playoffs,ProHubsTF
yt,XpJ3ccdPsvc?t=1324s,The Finals PHL Season 0 Championship Series Day 2,ProHubsTF
yt,SOuCV5GjgQ0,VGL Season 2 Pre-Season,Vanguardian League
yt,BTiCSQ6Z-g,VGL Season 2 Qualifiers #1,Vanguardian League
yt,XQMihaDjWWw,Fragpunk Global Invitational Day 1,Fragpunk
yt,kdqP67LK6UQ,Fragpunk Global Invitational Day 2,Fragpunk
yt,m5yHXiEoCk8,Fragpunk Global Invitational Day 3,Fragpunk
yt,5pOmDJWfaj0,VGL Season 3 Pre-season,Vanguardian League
ttv,2516082466,Abes Marvel Rivals Showdown on Twitch Rivals Day 1,Twitch Rivals
ttv,2517008796,Abes Marvel Rivals Showdown on Twitch Rivals Day 2,Twitch Rivals
yt,tx1_D44fdlc,The Finals PHL Season 1 EU Playday #1,ProHubsTF
yt,DHIsU2ThXZQ,The Finals PHL Season 1 EU Playday #2,ProHubsTF
yt,L9zUZBE5jOI,The Finals PHL Season 1 EU Playday #5,ProHubsTF
yt,vdwzU7XcYOg,The Finals PHL Season 1 EU Playday #6,ProHubsTF
